Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
ACTIVATE;Aerosol Cloud meTerology Interactions oVer the western ATlantic Experiment;;"The overarching goal of ACTIVATE is to robustly characterize aerosol-cloud-meteorology interactions using extensive, systematic, and simultaneous in situ and remote sensing airborne measurements with two aircraft and a hierarchy of models. ACTIVATE focuses on marine boundary layer (MBL) clouds that span the continuum of stratiform and cumulus clouds and include post-frontal conditions. Together, these clouds cover more than 45% of the ocean surface and exert a large net cooling effect.

ACTIVATE has four fundamental science goals:
Improved understanding and model representations of relationships between number concentrations of aerosol (Na), cloud condensation nuclei (CCN), and cloud droplets (Nd) and the relationships between cloud micro/macro-physical properties

A unique dataset for international model intercomparison and process-based studies

An evaluation of current remote sensing retrievals and prototypes for future satellite missions

The development of improved satellite-based Nd retrievals and CCN proxies";;;;;;January ?, 2019;December ?, 2023;;TBD;NASA Earth Venture Suborbital;;Barry Lefer;;;Aircraft, Model;Falcon - LARC, B-200 - LARC;DLH, LARGE, TAMMS, RSP, HSRL-2, Dropsonde, PAMR;DHARMA, GISS-E3, GEOS-5, GEOS-Chem, FLEXPART, WRF, E3SM, CAM5;;TBD;;;TBD;;;;;;TBD;TBD;ASDC;TBD;;"https://www-air.larc.nasa.gov/missions/activate/index.html
https://activate.larc.nasa.gov/
https://activate.larc.nasa.gov/science/team/";;;;TRUE;TBD;;;;;
CAMP2Ex;Clouds, Aerosol, and Monsoon Processes-Philippines Experiment;;"The Cloud, Aerosol and Monsoon Processes Philippines Experiment (CAMP2Ex) is a response to the need to deconvolute the fields of tropical meteorology and aerosol science at the meso-b to cloud level. The operations will base at Clark International Airport (Philippines). The campaign is scheduled for mid-August to October 2019. 

Aerosol and cloud microphysics: Examine how aerosol particle concentration and composition affect the optical and microphysical properties of shallow cumulus and congest clouds; and how, ultimately, these effects relate to the transition from shallow to deeper convection. 

Cloud and Aerosol Radiation: Study how spatially inhomogeneous and changing aerosol and cloud fields impact three dimensional heating rates and fluxes, and determine the extent to which three dimensional effects may feedback into the evolution of the aerosol, cloud, and precipitation fields. 

Aerosol and cloud meteorology: Determine the meteorological features that are the most influential in regulating the distribution of aerosol particles throughout the regional atmosphere and, ultimately, aerosol lifecycle, and ascertain the extent to which aerosol-cloud interactions studies are confounded and/or modulated by co-varying meteorology.";Atmospheric Composition, Weather;aerosol, trace gases, aerosol-cloud interaction, precipitation, radiative fluxes;Philippines;TBD;monsoon, wet;8/20/2019;10/10/2019;1;;NASA Earth Science;;Hal Maring;Jeff Reid;Gao Chen;Aircraft, water-based platforms, ground-based platforms;"NASA P3-B Orion (Tail number N426NA) 
SPEC Lear Jet (Tail number N474KA)";AMPR, APR-3, AVAPS, BBR, DASH-SP, DLH, FIMS, HSRL2, LARGE, RSP, SSFR, NRL cameras, SPEC Cloud Probes;;;30 (19 P-3 and 11 Lear Jet);;;TBD;;;;;GPM, OCO-2;TBD;TBD;TBD;TBD;;https://espo.nasa.gov/camp2ex/;;PAGASA, the Manila Observatory of Ateneo de Manila University, and the University of the Philippines, Office of Naval Research;"http://bagong.pagasa.dost.gov.ph/
http://www.observatory.ph/
https://onrpiston.colostate.edu/";FALSE;TBD;to be assigned to DAAC by March 2020;;;;
DCOTSS;Dynamics and Chemistry of the Summer Stratosphere;DCOTSS aims to improve understanding of the effects of deep convection and large-scale dynamics from intense thunderstorms with overshooting tops on the composition and chemistry of the lower stratosphere over North America. Intense storms can carry water and pollutants from the troposphere into the normally very dry stratosphere, where they can have a significant impact on radiative and chemical processes. This investigation identifies convective source regions, quantifies the effects of convection on the composition of the lower stratosphere in the North American Monsoon Anticyclone (NAMA), and assesses how that composition may change in response to ongoing changes in the climate system.;A primary goal of DCOTSS is to improve understanding of the effects of deep convection and large-scale dynamics from intense thunderstorms with overshooting tops on the composition and chemistry of the lower stratosphere (LS) over North America. Intense storms can carry water and pollutants from the troposphere into the normally very dry stratosphere, where they can have a significant impact on radiative and chemical processes. The investigation will identify convective source regions, quantify the effects of convection on the composition of the LS in the North American Monsoon Anticyclone (NAMA), and assess how that composition may change in response to ongoing changes in the climate system.;Atmospheric Composition, Weather;Overshooting tops, deep convection, lower stratospher air chemistry;Central US (deploy from Salinas Kansas);TBD;boreal summer;TBD;TBD;2 (+1 test);TBD;NASA Earth Venture Suborbital;;Barry Lefer;Kenneth Bowman, TAMU;Cameron Homeyer;aircraft, satellite, model,;ER-2;AWAS, CAFÉ, HUPCRS, UCATS, WI-ICOS, HAL, CANOE, HWV, MMS;NEXRAD, GOES-16;N/A;TBD;;;TBD;;;;;;TBD;TBD;ASDC;TBD;;;;;;TRUE;TBD;;;;;
Delta-X;Delta Exchange;;;;;Atchafalaya and Terrebonne basins of the Mississippi River Delta;TBD;Overshooting tops, deep convection, lower stratospheric air chemistry;TBD;TBD;2;TBD;NASA Earth Venture Suborbital;;Barry Lefer;Marc Simard, JPL;Sarah Flores, JPL;Aircraft, water-based platforms, ground-based platforms, model output;;Aerosol/particle size distribution and composition: Printed Optical Particle Spectrometer (POPS), Particle Analysis by Laser Mass Spectrometry (PALMS);;;TBD;;;TBD;;;;;;TBD;TBD;ORNL;TBD;;;;CRMS;;TRUE;TBD;;;;;
ECO-3D;;;;;;Maine, New Hampshire, Pennsylvania and Florida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;only CAR data at GES DISC. Other data?;;;;
FIREx-AQ;Fire Influence on Regional to Global Environments and Air Quality;;FIREX-AQ combines the previously separate NASA FIREChem and NOAA FIREX aircraft campaigns to better study the atmospheric effects of wildland and agricultural fires in the U.S. This offers significant advantages to the research community by optimally leveraging the scientific interests, personnel, and assets of NASA, NOAA, other agencies, and academic partners in a fully integrated program of field measurements, modeling, and interpretation. The joint FIREX-AQ program benefits from the knowledge base developed from detailed emissions characterization by NOAA and partners in the FIREX Fire Lab 2016 study. The NASA DC-8 aircraft offers an unparalleled payload capacity for comprehensive characterization of fire emissions, provides the flight envelope required to study chemical transformations during long-range transport, and enables sampling of both Western wildfires and agricultural/land-management burning emissions across the United States. The NOAA Twin Otter aircraft provides a complementary near-field ability to study daytime and nighttime chemical processing in lofted plumes from Western wildfires. The joint FIREX-AQ program further combines in-situ surface and airborne observations with remote sensing data to inform retrieval validation for wildfire emissions and plume optical properties.;Atmospheric Composition, Weather;tropospheric chemistry and composition, fire emissions, aerosols, atmospheric dynamics, smoke characteristics, weather;Northwestern and Southeastern US;;boreal summer;7/22/2019;9/5/2019;1;TBD;NASA and NOAA;;Barry Lefer;Jim Crawford;Gao Chen;Satellites, Model, In Situ Ground-based platforms, Aircraft;"NASA DC-8 
NASA ER-2 
DCH-6 - NOAA-CHEM Twin Otter
DCH-6 - NOAA-MET Twin Otter";"ACES, AOP, AS-TEM, CAFS, CAMS, CIT-CIMS, DACOM, DIAL, DLH, GT-CIMS, HR-AMS, ISAF, Iodide CIMS, LARGE, LINEPH, MASTER, Mini_DOAS, MMS, NOAA CIMS, NOAA IWAS, NOAA PTR-ToF-MS, NOyO3, CARE, OPALS, PTI, PTR-MS, SAGA, SO2, SP2, TOGA, WAS
AirMSPI-1, AVIRIS-C, CPL, eMAS, GCAS, HyTES, NAST-I, S-HIS
Picarro CRDS, Tenax cartridge autosampler, I- ToF CIMS, Aerosol mass spectrometer - UHSAS, Brown Carbon PiLS, Chemi-luminescence, TRAC Sampler, Offline WSOC analysis, jNO2 heads
MPDL, FRD, TO Met, GPS/INS
POPS, AlphaSense OPC-N2, FLIR Duo R, Hamamatsu H11097-0606S, Scanning Telescope";ground sites, mobile laboratories, satellites;"APR-2, COSMIR Hot-wire, 2DC, CPI, CIP, CDP, Nevzorov, HVPS-3, Rosemount icing rate meter, King probe, Chilled mirror, CN Counter, VIIRS, CrIS, ATMS, OMPS, VIIRS, CrIS, ATMS, OMPS, ABI, ABI, GLM, ABI, GLM, MODIS, AIRS, AMSU, OMI, MLS, MODIS, MISR, TROPOMI, TILDAS, no-dispersive infrared, UV absorption, PTR mass spec, AMS, multiwave photoacoustic spectrometer/nephelometer, spectral radiometer, ceilometer, LGR, Licor 840, GR NO2 with O3 titration, thermo scientific, TSI 3775, hot TSI3775, TSI 3789, TSI SMPS w/3772 CPC, TSI EEPS, DMT UHSAS, TSI APS, TSI Optical Particle Spectrometer, Air Photon Nephelometer, TSI3563 Nephelometer, 3-wavelength CAPS, Magee Scientific, SPEX, TAP, ARI dPAS-3, ARI dPASS, DMT PASS-3, PTFE filters + IC, PTFE filters + TOC, quartz filters; sunset labs, ICP, DMT SP2, MAAP, MetOne E-BAM, Teledyne T640, Vaisala CL51 Ceiliometer, Pandora Sun Photometer, AirMar 200WX, Weather Hawk";DC-8: 23, ER-2: 11;;;TBD;;;;;;;~5TB;TBD;TBD;;"https://www.esrl.noaa.gov/csd/projects/firex-aq/

https://www.us-ocb.org/wp-content/uploads/sites/43/2017/01/BioPump-Final.pdf
http://oceanexports.org/documents/Platform_Requirements.pdf
http://oceanexports.org/documents/Complete_Measurement_Table.xlsx 
http://oceanexports.org/documents/Complete_Measurement_Table_Footnotes.pdf
http://oceanexports.org/documents/EXPORTS_Long_Sept_2015.pptx
http://www.oceanexports.org/documents/EXPORTS_Imp_Plan_Oct17_2016_FINAL.pdf
https://www.frontiersin.org/articles/10.3389/fmars.2016.00022/full
http://oceanexports.org/index.html 
https://cce.nasa.gov/cce/pdfs/EXPORTS_SciPlan_final_sm.pdf
http://oceanexports.org/projects.html";;;N/A;;;;;;;
IMPACTS;;;;;;;;;;;;TBD;NASA Earth Venture Suborbital;;Barry Lefer;;;;;;;;TBD;;;TBD;;;;;;TBD;TBD;GHRC;TBD;;;;;;TRUE;TBD;;;;;
S-MODE;Sub-Mesoscale Ocean Dynamics Experiment;S-MODE explores the potentially large influence that small-scale ocean eddies have on the exchange of heat between the ocean and the atmosphere. The project contains climate and biological observations of the upper ocean from multiple and redundant water-based in situ, shipborne and airborne instruments. The focussed study region encompasses an area 200 miles off the coast of San Francisco, CA.;S-MODE explores the potentially large influence that small-scale ocean eddies have on the exchange of heat between the ocean and the atmosphere. The project contains climate and biological observations of the upper ocean from multiple and redundant water-based in situ, shipborne and airborne instruments. The focussed study region encompasses an area 200 miles off the coast of San Francisco, CA.;Global Water & Energy Cycle;;100 Km ocean region approximately 200 km west of San Francisco, CA;TBD;boreal spring, boreal fall;TBD;TBD;2 (+1 test);TBD;NASA Earth Venture Suborbital;;Barry Lefer;Tom Farrar;Fred Bingham;aircraft, water-based platforms, model output, satellite;Nasa Armstrong King Air B-200 N801, Twin Otter DHC-6, NASA Gulfstream-V;DopplerScat, MOSES, MASS, PRISM;drifters, Lagrangian floats, seagliders, saildrones, slocum gliders, wavegliders, R/V vessel,;CTD, ADCP, meteorological measurements;TBD;ocean surface currents, ocean surface winds (magnitude and direction), ocean temperature profiles, ocean salinity, chlorophyll-A, dissolved oxygen, optical backscatter, spectral downwelling irradiance, ocean subsurface currents, air-sea fluxes (derived), horizontal and vertical velocity gradients (derived), sea surface height anomalies,;;TBD;;;;TBD;PACE, WaCM;TBD;TBD;PODAAC;TBD;;;;Saildrone;https://www.saildrone.com/;TRUE;TBD;;;;;
AJAX;Alpha Jet Atmospheric eXperiment;;AJAX is an ongoing H211 L.L.C. and NASA AMES partnership, that investigates topics as varied as stratospheric-to-tropospheric transport events, urban outflow calculating emissions from cities, forest fire emission plume sampling, and the collection of CO2, CH4, CH2O, and O3. In addition, AJAX uses the Meteorological Measurement System to measure pressure, temperature, turbulence index and the three dimensional wind vector. This campaign allows Ames Research Center to collect data on a regular basis over multiple seasons.;Atmospheric Composition;;Moffett Field, San Joaquin Valley, San Francisco Bay, California and Railroad Valley, Nevada;42, 32, -114, -125;year round;7/3/1905;ongoing;;;"Space Act Agreement between H211 LLC and NASA Ames Research Center; H211 LLC donated aircraft and pilot hours";;Ken Jucks;Laura Iraci;N/A;Aircraft, Satellites;Alpha Jet;GHG, 2-B Tech 205, MMS, COFFEE;OCO-2;;;Trace gases, Meteorology;;;;;;;;;;Unpublished;;;"https://www.nasa.gov/centers/ames/earthscience/programs/ajax
https://airbornescience.nasa.gov/sites/default/files/science_report/Flt217_30Jan2018_optionA_Plan.pdf
https://airbornescience.nasa.gov/category/aircraft/Alpha_Jet
https://earthscience.arc.nasa.gov/ajax
https://earthscience.arc.nasa.gov/content/AJAX_Home_page
https://www.esrl.noaa.gov/gmd/publications/annual_meetings/2014/slides/34-140331-A.pdf
https://www.wrapair2.org/pdf/Yates_WESTAR_AJAX_13Jan2016.pdf
https://geo.arc.nasa.gov/ajax/ajax_index.html
https://airbornescience.nasa.gov/sites/default/files/documents/ASP2014_AnnlRpt_v3.pdf";;H211 LLC;https://drive.google.com/file/d/1N_omB0mg-ws3Dn6umzU4JPzOVetPKHBu/view;;;;;;;
AMISA;Arctic Mechanisms of Interaction Between the Surface and Atmosphere;;"AMISA studied the effects of global warming on Arctic ice formation. Measurements taken during this campaign included atmospheric temperature and humidity profiles, sea-ice surface imagery and measurements of atmospheric aerosol particle properties and their size distribution. Resulting data were used to study the relationship between cloud processes (microphysical properties and radiation profiles), aerosol transport trajectories, atmospheric radiation and the Arctic climate. This work helps researchers better understand the atmospheric processes influencing sea ice loss and growth, and provides data that will help improve the ability of missions such as AMSR-E to monitor the changing Arctic sea ice cover.

Aerosol sampling was performed over the Oden while it was moored in the Arctic Ocean and also over other wide-ranging areas of the Arctic. The sampling's goal was to determine the density and composition of biogenic and maritime aerosol flows into the near-polar Arctic inversion layer from the free troposphere and to map the sea ice. The mapping activity will serve to improve NASA satellite imaging of sea ice concentration.";Climate Variability & Change, Atmospheric Composition;;Arctic between Scandinavia and Greenland;89, 78, 115, -45;boreal summer;8/13/2008;8/25/2008;1;;Research opportunities in space and earth science- 2006 NASA Earth Science Division A.16 the International Polar Year (IPY);;Thomas Wagner;Al Gasiewski;N/A;Aircraft, Sea-based Platforms, Balloons;DC-8 - AFRC;PSR, DCR, TPR, SLFMR, CAPS, Dropsonde, pyranometers, pyrgeometers, VACC, OAT Rosemount Probe;ground-based platforms;Scanning Radiometer, Air Chemistry Sampling, S-band CLoud and Precip Radar, MAERI, Lidar, Rawinsondes, MMCR;5;Atmosphere, Cryosphere, Ocean;;;;;;;;;;Unpublished;"Meteorological Summary: ftp://ftp.library.noaa.gov/noaa_documents.lib/OAR/PSD/TM_OAR_PSD_314.pdf

Nav Data: https://asp-archive.arc.nasa.gov/

AMISA Aircraft, Aerosol, Cloud & Video: http://www.ascos.se/index.php?q=node/272";;"ftp://ftp.library.noaa.gov/noaa_documents.lib/OAR/PSD/TM_OAR_PSD_314.pdf

https://www.nasa.gov/centers/dryden/home/AMISA_mission_science_report.html
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Newsltr_Oct_08.pdf
https://neptune.gsfc.nasa.gov/uploads/science/ppt/2008_09_highlights.ppt
http://slideplayer.com/slide/8206533/
https://www.nasa.gov/centers/dryden/home/amisa_08_07_08.html
http://slideplayer.com/slide/4811615/
http://amisa08.blogspot.com/2008/08/ 
https://airbornescience.nasa.gov/sites/default/files/documents/ASP08_AnnlRptv8.pdf";;NOAA, UC Boulder, NSERC University of ND, NSF, Swedish Polar Secretariat;https://drive.google.com/file/d/1yGPTwIftAyTYzqegZlq3cpYqD1S7xnzv/view;;;;"I requested access to this google drive link.
NOTE: although the aircraft was flown out of Kiruna, Sweden, much of the research appears to have occurred some distance away
NOTE: the best link is the ftp to the meteorological info";;;
Arctic;Arctic Sea Ice 2006 and Arctic 2007;The Arctic 2006 mission was conducted from March 18-29, 2006 using the NASA P-3 aircraft flying a remote sensing payload over the Arctic and Greenland polar regions. The focus of this campaign was on the validation of sea-ice concentration, snow depth on sea ice, and sea-ice temperature measurements from space. The Arctic 2006 campaign had three phases. Phase 1 focused on validating Aqua Advanced Microwave Scanning Radiometer (AMSR-E) sea-ice products (also referred to as AMSRIce06). Phases 2 and 3 provided important measurements for validating the Geoscience Lase Altimeter System (GLAS) instrument on the Ice Cloud and Land Elevation Satellite (ICESat). In-situ measurements of snow and sea ice were also collected over the Arctic Ocean adjacent to Barrow, AK in addition to aircraft instrument measurements.;The Arctic 2006 campaign had three phases. . This was the second Alaskan Arctic field campaign for validating Aqua Advanced Microwave Scanning Radiometer (AMSR-E) sea-ice products. The campaign also provided important measurements for validating the Geoscience Lase Altimeter System (GLAS) instrument on the Ice Cloud and Land Elevation Satellite (ICESat). The focus of this campaign was on the validation of sea-ice concentration, snow depth on sea ice, and sea-ice temperature. In-situ measurements of snow and sea ice were carried out over the Arctic Ocean adjacent to Barrow, AK. These measurements were overflown in order to validate the aircraft instruments. Patterns over the Arctic Ocean corresponding to AMSR-E pixels were flown for direct comparison with the AMSR-E snow depth retrievals. The data were intended to be used to compare data from prior Greenland surveys to determine the changes in the Greenland ice sheet mass balance.;Climate Variability & Change;;"Phase 1: Alaskan Coast; Phase 2: Arctic Ocean adjacent Northern Canada; Phase 3: Western
Coastal region of Greenland.";;boreal spring;3/18/2006;3/29/2006;1;;Cryosphere Science;;Thomas Wagner;Phase 1: Donald Cavalieri and Thorsten Markus. Phase 2 & 3: William Krabill;N/A;Aircraft;P-3B - WFF;Snow Radar, PSR, D2P, ATM 4, GPS, digital camera;;;13;Cryosphere, Land Surface;;;;;;;;;;Unpublished;"https://nsidc.org/data/amsr_validation/cryosphere/amsrice06/index.html

https://neptune.gsfc.nasa.gov/csb/index.php?section=131";;"https://airbornescience.nasa.gov/sites/default/files/documents/SSP06Rpt_final.pdf
https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/20070008103.pdf
https://polynya.gsfc.nasa.gov/seaice_arctic2006.html
https://airbornescience.nasa.gov/sites/default/files/documents/ASP07Rpt_v10.pdf";;;https://drive.google.com/file/d/1R201rBP2I-F3a7jL12HRyB-pUjVVvWPp/view;;;;;;;
ARISE;Arctic Radiation - IceBridge Sea & Ice Experiment;;ARISE was conducted to obtain information on the relationship between changes in Arctic ice and regional energy budgets as influenced by clouds. There were 3 primary objectives for this effort: measuring spectral and broadband radiative fluxes while quantifying cloud, surface and various atmospheric state parameters under varying conditions using NASA’s C-130 aircraft, obtaining measurements of land and sea ice characteristics in order to better understand observed Arctic Ice conditions via satellite overpasses, and lastly, comparing surface-based observations with airborne in-situ observations in order to gleam an understanding for the overall mission.;Atmospheric Composition, Earth Surface & Interior;sea ice, radiation budget, cloud properties, satellite validation;Arctic, Greenland;;boreal summer boreal fall;8/24/2014;9/24/2014;1;41906;NASA;Radiation Science Program;;Christy Hansen;Gao Chen;Aircraft, Satellites;C-130;SSFR, 4STAR, LVIS, BBR, LARGE;Aqua, Terra, SUOMI-NPP;;15;sea ice, ground ice, land surface, atmospheric radiation, cloud properties, aerosol particle properties;2413, 2612, 2917, 1256, 1428, 1118;N/A;;;;https://journals.ametsoc.org/doi/full/10.1175/BAMS-D-14-00277.1;N/A;0;;ASDC;"https://www-air.larc.nasa.gov/missions/arise/index.html
https://asp-archive.arc.nasa.gov/";;;N/A;N/A;N/A;FALSE;NOT LISTED IN GCMD;;"Review: Campaign tab: Spatial bounds: The flight track map from the BAMS article could be used to estimate this, Season/start&end dates/# of flights: According to the BAMS article and the flight logs, the first scientifically relevant flight occurred on 9/4/2014. The ones before were either calibration or transit flights. Should the start date be moved to this date? Also I recommend the season being only “boreal fall” since that is when the data was gathered. Also, according to the BAMS article there was a scientific flight in Oct, so should this be considered in the end date of the deployment/campaign?, Data manager: I couldn’t find anything indicating Gao Chen was the data manager but he was listed as an author of the BAMS article, Aircraft instruments: Table 1 in the BAMS article lists more instruments than the NASA site you linked as reference, but they don’t all have specific names, Supported NASA mission: BAMS article indicates it supports Operation IceBridge; Instruments: Added GCMD UUID for BBR; Camp/Dep…The BAMS article says the TN for the C-130 is N439NA, which is different than the ASP website. However the ASP website says the plane entered service in 2015, so maybe the C-130 used in ARISE was an older one?; Main review: This campaign appears to be unpublished";CW;43838;SB
ASCENDS;Active Sensing of CO2 Emissions over Nights, Days, and Seasons;;ASCENDS will provide long-term, accurate global CO2 data using a multifrequency laser to measure the total amount of CO2 in atmospheric colums. Quantify global spatial distribution of atmospheric column CO2 and quantify the global spatial distribution of terrestrial and oceanic sources and sinks of CO2.;Atmospheric Composition;;"2010- Central Valley, Ca; 2011 - CA, Railroad Valley, NV, Pacific NW, Four Corners, NM, & Rocky Mountains to Iowa; 2013 - Central Valley, CA; 2014 - CA, OCO-2 underflights western U.S., & Iowa/Midwest; 2017 - Northwest Territory Canada, South/Central Alaska";;;;;3;;Upper Atmospheric Research;;Ken Jucks;Edward Browell, James Abshire;Gao Chen;Ground-based Platforms, Aircraft;DC-8, B-200;"2011 - AVOCET, Picarro, DACOM/DLH, CO2 Sounder, ACES; 2014 - AVOCET, MFLL lidar, CO2 LAS lidar, CO2 Sounder lidar; 2017 - CO2 Sounder lidar, ACES lidar, AVOCET, Picarro, DACOM, DLH";;;;Trace Gas, Meteorology;;;;;;;;;;Unpublished;"ASCENDS 2017:https://www-air.larc.nasa.gov/cgi-bin/ArcView/ascends.2017
2017 Nav Data: https://asp-archive.arc.nasa.gov/ASCENDS_2017/
2010, 2011, 2013, 2014 Nav Data: https://asp-archive.arc.nasa.gov/";;"https://atmospheres.gsfc.nasa.gov/uploads/images_db/TM20172190202.pdf
https://cce.nasa.gov/ascends_2015/ASCENDSFinalDraft81915.pdf
https://airbornescience.nasa.gov/sites/default/files/documents/ASP_Fall2017_nsltr.pdf
https://www.atmos-meas-tech.net/8/2685/2015/amt-8-2685-2015.pdf
https://www.nasa.gov/larc/ascends-scientists-test-new-technologies-in-california-skies/
https://cce.nasa.gov/ascends/
http://users.clas.ufl.edu/mbinford/pub/Henry_and_Barney/Older_FIles/6-US_CCS_Plan_August_2011_(doc_for_layout)%5B1%5D.doc
https://cce.nasa.gov/ascends/12-30-08%20ASCENDS_Workshop_Report%20clean.pdf
https://www.nies.go.jp/soc/events/iwggms9/pdf/presentations/0529/08_KenJucks.pdf";;;https://drive.google.com/file/d/17zBUP9T08D7snJmihnszuthX2iKOZHHM/view;;;;;;;
CARAFE;Carbon Atmospheric Flux Experiment;;observe and quantify cloud and precipitation. An overview;Carbon Cycle & Ecosystems;;Mid-Atlantic Region;;;9/9/2016;5/26/2017;2;;HQ Reserve Funding and Carbon Monitoring System Program;;Barry Lefer;Randy Kawa;Gao Chen;Aircraft;C-23 Sherpa - WFF;Los Gatos Research CH4/H2O and CO2 ICOS analyzers, Picarro CO2, Laser open-path fast H2O sensor, TAMMS air motion sensors, 3-D wind calculations, Flir Vegetation Camera, Li-COR PAR sensor;Radiosondes;Honeywell PPT2, Rosemount 1221;17;ASCENDS will provide long-term, accurate global CO2 data using a multifrequency laser to measure the total amount of CO2 in atmospheric columns. Quantify global spatial distribution of atmospheric column CO2 and quantify the global spatial distribution of terrestrial and oceanic sources and sinks of CO2.;;;;;;https://www.atmos-meas-tech.net/11/1757/2018/amt-11-1757-2018.pdf;;;;Unpublished;https://www-air.larc.nasa.gov/missions/carafe/;;"https://www-air.larc.nasa.gov/missions/carafe
https://www.nasa.gov/feature/goddard/2017/nasa-to-measure-greenhouse-gases-over-the-mid-atlantic-region-in-may
https://www.nasa.gov/press-release/nasa-using-aircraft-to-measure-mid-atlantic-greenhouse-gases";;;https://drive.google.com/file/d/1L-mMsko1WnV8nBsWyiT4upkYXx_QQULl/view;;;;;;;
CASIE;Characterization of Arctic Sea Ice Experiment;;"This mission will combine the use of a variety of remote sensing methods, including satellite observations and uninhabited aerial vehicles, to provide fundamental new insights into ice roughness on the scale of meters to tens of meters in the context of larger-scale environmental forcing. In addition, the mission offers a technological and operational testbed to demonstrate the value of autonomous vehicles for long-range, long-duration remote sensing science. In keeping with this, the mission has three science goals:

Determine the degree to which ice-roughness monitoring via remote sensing can detect basic changes in ice conditions such as ice thickness and ice age.
Investigate relationships between ice roughness and factors affecting the loss or maintenance of the perennial ice cover.
Determine how roughness varies as a function of different kinematic conditions and ice properties.";Climate Variability & Change, Airborne Science;;Svalbard archipelago of Norway;;;7/13/2009;7/29/2009;1;;2006 Research Opportunities in Space and Earth Sciences, Airborne Science Program;;Andrew Roberts, Thomas Wagner;James Maslanik;N/A;Aircraft, In-situ Ground-based Platforms;SIERRA - ARC;Laser Altimeter, GPS, inertial measurement unit, imaging synthetic aperture radar with video camera, digital camera, pyranometer, spectrometer, pyrometer;ground sites;;;Cryosphere, Atmosphere, Land Surface;;;;;;;;;;Unpublished;;;"https://espo.nasa.gov/casie
https://blogs.nasa.gov/CASIE/

https://www.nasa.gov/home/hqnews/2009/jul/HQ_09-167_CASIE_Experiment.ht
https://airbornescience.nasa.gov/sites/default/files/documents/ASPnsltr_Oct_09.pdf
http://research.bpcrc.osu.edu/rsl/GIIPSY/documents/NASA_IPY.pdf
https://alaska.usgs.gov/science/geography/CRSS2010/presentations/Schoenung.pdf";;International Polar Year Program, BAERI, CU Boulder, CSUMB, BYU;https://drive.google.com/file/d/1G3OhhngxwdubX-ipZMrthIomsSbSfU-d/view;;;;;;;
